image,cluster,count
130001.jpg,0,9
130001.jpg,1,38
130001.jpg,10,10
130001.jpg,11,31
130001.jpg,12,21
130001.jpg,13,89
130001.jpg,14,73
130001.jpg,15,8
130001.jpg,16,36
130001.jpg,17,19
130001.jpg,18,13
130001.jpg,19,110
130001.jpg,2,12
130001.jpg,20,23
130001.jpg,21,13
130001.jpg,22,132
130001.jpg,23,37
130001.jpg,24,16
130001.jpg,25,11
130001.jpg,26,350
130001.jpg,27,5
130001.jpg,28,160
130001.jpg,29,85
130001.jpg,3,30
130001.jpg,30,122
130001.jpg,31,57
130001.jpg,32,258
130001.jpg,33,38
130001.jpg,34,86
130001.jpg,35,13
130001.jpg,36,38
130001.jpg,37,32
130001.jpg,38,13
130001.jpg,39,2
130001.jpg,4,25
130001.jpg,40,29
130001.jpg,41,23
130001.jpg,42,21
130001.jpg,43,23
130001.jpg,44,23
130001.jpg,45,30
130001.jpg,46,124
130001.jpg,47,12
130001.jpg,48,19
130001.jpg,49,131
130001.jpg,5,7
130001.jpg,50,19
130001.jpg,51,13
130001.jpg,52,28
130001.jpg,53,175
130001.jpg,54,37
130001.jpg,55,29
130001.jpg,56,193
130001.jpg,57,17
130001.jpg,58,5
130001.jpg,59,376
130001.jpg,6,10
130001.jpg,60,35
130001.jpg,61,14
130001.jpg,62,134
130001.jpg,63,135
130001.jpg,64,55
130001.jpg,65,192
130001.jpg,66,104
130001.jpg,67,145
130001.jpg,68,27
130001.jpg,69,44
130001.jpg,7,74
130001.jpg,70,16
130001.jpg,71,152
130001.jpg,72,18
130001.jpg,73,31
130001.jpg,74,29
130001.jpg,75,42
130001.jpg,76,22
130001.jpg,77,39
130001.jpg,78,14
130001.jpg,79,13
130001.jpg,8,3
130001.jpg,80,57
130001.jpg,81,306
130001.jpg,82,92
130001.jpg,83,10
130001.jpg,84,384
130001.jpg,85,215
130001.jpg,86,8
130001.jpg,87,30
130001.jpg,88,94
130001.jpg,89,231
130001.jpg,9,10
130001.jpg,90,14
130001.jpg,91,20
130001.jpg,92,280
130001.jpg,93,111
130001.jpg,94,124
130001.jpg,95,73
130001.jpg,96,17
130001.jpg,97,569
130001.jpg,98,34
130001.jpg,99,19
130101.jpg,0,2
130101.jpg,1,23
130101.jpg,10,11
130101.jpg,11,17
130101.jpg,12,5
130101.jpg,13,14
130101.jpg,14,16
130101.jpg,15,5
130101.jpg,16,11
130101.jpg,17,5
130101.jpg,18,10
130101.jpg,19,22
130101.jpg,2,10
130101.jpg,20,11
130101.jpg,21,11
130101.jpg,22,44
130101.jpg,23,14
130101.jpg,24,8
130101.jpg,25,5
130101.jpg,26,24
130101.jpg,27,1
130101.jpg,28,18
130101.jpg,29,20
130101.jpg,3,13
130101.jpg,30,31
130101.jpg,31,18
130101.jpg,32,71
130101.jpg,33,16
130101.jpg,34,9
130101.jpg,35,6
130101.jpg,36,28
130101.jpg,37,165
130101.jpg,38,7
130101.jpg,39,4
130101.jpg,4,23
130101.jpg,40,6
130101.jpg,41,23
130101.jpg,42,13
130101.jpg,43,8
130101.jpg,44,10
130101.jpg,45,27
130101.jpg,46,32
130101.jpg,47,6
130101.jpg,48,6
130101.jpg,49,11
130101.jpg,5,3
130101.jpg,50,9
130101.jpg,51,22
130101.jpg,52,4
130101.jpg,53,14
130101.jpg,54,17
130101.jpg,55,11
130101.jpg,56,30
130101.jpg,57,4
130101.jpg,58,7
130101.jpg,59,20
130101.jpg,6,6
